Date,Day of the Week,Location,Time Group,Vehicle Count,Weather Conditions,Road Type,Congestion Level
2024-01-09,Tuesday,Keraniganj,Late Night (11:00 PM – 5:00 AM),372,Sunny,Entry Point,Low
2024-01-09,Tuesday,Tongi,Early Morning (5:00 AM – 7:30 AM),493,Cloudy,Entry Point,High
2024-01-09,Tuesday,Tongi,Morning Rush (7:30 AM – 10:30 AM),398,Sunny,Commercial Street,Medium
2024-01-09,Tuesday,Tongi,Midday (10:30 AM – 2:00 PM),424,Rainy,Arterial Road,Low
2024-01-09,Tuesday,Tongi,Afternoon (2:00 PM – 4:30 PM),278,Sunny,Commercial Street,High
2024-01-09,Tuesday,Tongi,Evening Rush (4:30 PM – 8:00 PM),359,Rainy,Residential Street,Low
2024-01-09,Tuesday,Tongi,Night (8:00 PM – 11:00 PM),405,Cloudy,Flyover,Medium
2024-01-09,Tuesday,Tongi,Late Night (11:00 PM – 5:00 AM),328,Cloudy,Entry Point,Low
2024-01-09,Tuesday,Savar Entry Point,Early Morning (5:00 AM – 7:30 AM),263,Cloudy,Highway,High
2024-01-09,Tuesday,Savar Entry Point,Morning Rush (7:30 AM – 10:30 AM),256,Cloudy,Commercial Street,High
2024-01-09,Tuesday,Savar Entry Point,Midday (10:30 AM – 2:00 PM),193,Rainy,Flyover,High
2024-01-09,Tuesday,Savar Entry Point,Afternoon (2:00 PM – 4:30 PM),235,Sunny,Residential Street,Medium
2024-01-09,Tuesday,Savar Entry Point,Evening Rush (4:30 PM – 8:00 PM),468,Cloudy,Highway,Medium
2024-01-09,Tuesday,Savar Entry Point,Night (8:00 PM – 11:00 PM),500,Cloudy,Highway,Medium
2024-01-09,Tuesday,Savar Entry Point,Late Night (11:00 PM – 5:00 AM),384,Sunny,Entry Point,Low
2024-01-09,Tuesday,Ashulia,Early Morning (5:00 AM – 7:30 AM),365,Rainy,Commercial Street,Medium
2024-01-09,Tuesday,Ashulia,Morning Rush (7:30 AM – 10:30 AM),116,Cloudy,Flyover,Low
2024-01-09,Tuesday,Ashulia,Midday (10:30 AM – 2:00 PM),208,Cloudy,Arterial Road,Low
2024-01-09,Tuesday,Ashulia,Afternoon (2:00 PM – 4:30 PM),481,Cloudy,Entry Point,Medium
2024-01-09,Tuesday,Ashulia,Evening Rush (4:30 PM – 8:00 PM),397,Sunny,Commercial Street,Medium
2024-01-09,Tuesday,Ashulia,Night (8:00 PM – 11:00 PM),388,Rainy,Commercial Street,High
2024-01-09,Tuesday,Ashulia,Late Night (11:00 PM – 5:00 AM),369,Sunny,Arterial Road,Medium
2024-01-09,Tuesday,Pragati Sarani,Early Morning (5:00 AM – 7:30 AM),444,Cloudy,Residential Street,Low
2024-01-09,Tuesday,Pragati Sarani,Morning Rush (7:30 AM – 10:30 AM),272,Rainy,Commercial Street,High
2024-01-09,Tuesday,Pragati Sarani,Midday (10:30 AM – 2:00 PM),452,Cloudy,Residential Street,High
2024-01-09,Tuesday,Pragati Sarani,Afternoon (2:00 PM – 4:30 PM),381,Rainy,Commercial Street,High
2024-01-09,Tuesday,Pragati Sarani,Evening Rush (4:30 PM – 8:00 PM),375,Cloudy,Entry Point,High
2024-01-09,Tuesday,Pragati Sarani,Night (8:00 PM – 11:00 PM),407,Sunny,Commercial Street,Medium
2024-01-09,Tuesday,Pragati Sarani,Late Night (11:00 PM – 5:00 AM),207,Rainy,Entry Point,High
2024-01-10,Wednesday,Farmgate,Early Morning (5:00 AM – 7:30 AM),267,Rainy,Entry Point,High
2024-01-10,Wednesday,Farmgate,Morning Rush (7:30 AM – 10:30 AM),420,Cloudy,Commercial Street,High
2024-01-10,Wednesday,Farmgate,Midday (10:30 AM – 2:00 PM),491,Sunny,Entry Point,High
2024-01-10,Wednesday,Farmgate,Afternoon (2:00 PM – 4:30 PM),355,Rainy,Commercial Street,High
2024-01-10,Wednesday,Farmgate,Evening Rush (4:30 PM – 8:00 PM),409,Rainy,Commercial Street,High
2024-01-10,Wednesday,Farmgate,Night (8:00 PM – 11:00 PM),107,Cloudy,Arterial Road,Medium
2024-01-10,Wednesday,Farmgate,Late Night (11:00 PM – 5:00 AM),111,Sunny,Entry Point,Low
2024-01-10,Wednesday,Mohakhali,Early Morning (5:00 AM – 7:30 AM),195,Cloudy,Arterial Road,Medium
2024-01-10,Wednesday,Mohakhali,Morning Rush (7:30 AM – 10:30 AM),190,Rainy,Commercial Street,High
2024-01-10,Wednesday,Mohakhali,Midday (10:30 AM – 2:00 PM),206,Cloudy,Entry Point,Medium
2024-01-10,Wednesday,Mohakhali,Afternoon (2:00 PM – 4:30 PM),431,Sunny,Flyover,Medium
2024-01-10,Wednesday,Mohakhali,Evening Rush (4:30 PM – 8:00 PM),464,Rainy,Arterial Road,High
2024-01-10,Wednesday,Mohakhali,Night (8:00 PM – 11:00 PM),147,Sunny,Flyover,Medium
2024-01-10,Wednesday,Mohakhali,Late Night (11:00 PM – 5:00 AM),207,Rainy,Entry Point,Low
2024-01-10,Wednesday,Gulshan-2,Early Morning (5:00 AM – 7:30 AM),312,Rainy,Arterial Road,High
2024-01-10,Wednesday,Gulshan-2,Morning Rush (7:30 AM – 10:30 AM),322,Rainy,Entry Point,Medium
2024-01-10,Wednesday,Gulshan-2,Midday (10:30 AM – 2:00 PM),423,Cloudy,Arterial Road,Low
2024-01-10,Wednesday,Gulshan-2,Afternoon (2:00 PM – 4:30 PM),471,Rainy,Arterial Road,Medium
2024-01-10,Wednesday,Gulshan-2,Evening Rush (4:30 PM – 8:00 PM),287,Sunny,Flyover,Low
2024-01-10,Wednesday,Gulshan-2,Night (8:00 PM – 11:00 PM),468,Cloudy,Residential Street,Low
2024-01-10,Wednesday,Gulshan-2,Late Night (11:00 PM – 5:00 AM),366,Rainy,Residential Street,Low
2024-01-10,Wednesday,Jatrabari,Early Morning (5:00 AM – 7:30 AM),348,Rainy,Commercial Street,Low
2024-01-10,Wednesday,Jatrabari,Morning Rush (7:30 AM – 10:30 AM),233,Cloudy,Flyover,High
2024-01-10,Wednesday,Jatrabari,Midday (10:30 AM – 2:00 PM),378,Cloudy,Commercial Street,Low
2024-01-10,Wednesday,Jatrabari,Afternoon (2:00 PM – 4:30 PM),245,Sunny,Residential Street,Low
2024-01-10,Wednesday,Jatrabari,Evening Rush (4:30 PM – 8:00 PM),441,Sunny,Commercial Street,High
2024-01-10,Wednesday,Jatrabari,Night (8:00 PM – 11:00 PM),428,Rainy,Entry Point,Low
2024-01-10,Wednesday,Jatrabari,Late Night (11:00 PM – 5:00 AM),482,Sunny,Highway,Medium
2024-01-10,Wednesday,Uttara Sector 7,Early Morning (5:00 AM – 7:30 AM),181,Cloudy,Entry Point,High
2024-01-10,Wednesday,Uttara Sector 7,Morning Rush (7:30 AM – 10:30 AM),197,Rainy,Arterial Road,Low
2024-01-10,Wednesday,Uttara Sector 7,Midday (10:30 AM – 2:00 PM),379,Cloudy,Commercial Street,Low
2024-01-10,Wednesday,Uttara Sector 7,Afternoon (2:00 PM – 4:30 PM),232,Sunny,Residential Street,Low
2024-01-10,Wednesday,Uttara Sector 7,Evening Rush (4:30 PM – 8:00 PM),259,Cloudy,Arterial Road,High
2024-01-10,Wednesday,Uttara Sector 7,Night (8:00 PM – 11:00 PM),205,Cloudy,Arterial Road,High
2024-01-10,Wednesday,Uttara Sector 7,Late Night (11:00 PM – 5:00 AM),411,Sunny,Flyover,Low
2024-01-10,Wednesday,Motijheel,Early Morning (5:00 AM – 7:30 AM),162,Cloudy,Entry Point,Medium
2024-01-10,Wednesday,Motijheel,Morning Rush (7:30 AM – 10:30 AM),481,Sunny,Residential Street,Medium
2024-01-10,Wednesday,Motijheel,Midday (10:30 AM – 2:00 PM),244,Rainy,Entry Point,Medium
2024-01-10,Wednesday,Motijheel,Afternoon (2:00 PM – 4:30 PM),141,Sunny,Highway,High
2024-01-10,Wednesday,Motijheel,Evening Rush (4:30 PM – 8:00 PM),232,Cloudy,Residential Street,High
2024-01-10,Wednesday,Motijheel,Night (8:00 PM – 11:00 PM),487,Rainy,Residential Street,High
2024-01-10,Wednesday,Motijheel,Late Night (11:00 PM – 5:00 AM),492,Cloudy,Residential Street,Medium
2024-01-10,Wednesday,Shahbagh,Early Morning (5:00 AM – 7:30 AM),347,Cloudy,Residential Street,High
2024-01-10,Wednesday,Shahbagh,Morning Rush (7:30 AM – 10:30 AM),312,Sunny,Residential Street,Low
2024-01-10,Wednesday,Shahbagh,Midday (10:30 AM – 2:00 PM),389,Cloudy,Residential Street,High
2024-01-10,Wednesday,Shahbagh,Afternoon (2:00 PM – 4:30 PM),147,Cloudy,Flyover,High
2024-01-10,Wednesday,Shahbagh,Evening Rush (4:30 PM – 8:00 PM),492,Sunny,Flyover,Low
2024-01-10,Wednesday,Shahbagh,Night (8:00 PM – 11:00 PM),387,Rainy,Arterial Road,High
2024-01-10,Wednesday,Shahbagh,Late Night (11:00 PM – 5:00 AM),257,Rainy,Flyover,High
2024-01-10,Wednesday,Mirpur-10,Early Morning (5:00 AM – 7:30 AM),346,Rainy,Highway,Low
2024-01-10,Wednesday,Mirpur-10,Morning Rush (7:30 AM – 10:30 AM),497,Rainy,Residential Street,Low
2024-01-10,Wednesday,Mirpur-10,Midday (10:30 AM – 2:00 PM),226,Cloudy,Highway,Medium
2024-01-10,Wednesday,Mirpur-10,Afternoon (2:00 PM – 4:30 PM),333,Rainy,Highway,Medium
2024-01-10,Wednesday,Mirpur-10,Evening Rush (4:30 PM – 8:00 PM),290,Rainy,Flyover,Low
2024-01-10,Wednesday,Mirpur-10,Night (8:00 PM – 11:00 PM),270,Sunny,Entry Point,Low
2024-01-10,Wednesday,Mirpur-10,Late Night (11:00 PM – 5:00 AM),157,Rainy,Flyover,Medium
2024-01-10,Wednesday,Gabtoli,Early Morning (5:00 AM – 7:30 AM),181,Sunny,Commercial Street,Medium
2024-01-10,Wednesday,Gabtoli,Morning Rush (7:30 AM – 10:30 AM),462,Rainy,Commercial Street,Low
2024-01-10,Wednesday,Gabtoli,Midday (10:30 AM – 2:00 PM),290,Rainy,Arterial Road,Medium
2024-01-10,Wednesday,Gabtoli,Afternoon (2:00 PM – 4:30 PM),223,Cloudy,Residential Street,High
2024-01-10,Wednesday,Gabtoli,Evening Rush (4:30 PM – 8:00 PM),262,Rainy,Residential Street,Low
2024-01-10,Wednesday,Gabtoli,Night (8:00 PM – 11:00 PM),196,Rainy,Flyover,Low
2024-01-10,Wednesday,Gabtoli,Late Night (11:00 PM – 5:00 AM),438,Sunny,Commercial Street,Low
2024-01-10,Wednesday,Rampura,Early Morning (5:00 AM – 7:30 AM),239,Sunny,Arterial Road,Medium
2024-01-10,Wednesday,Rampura,Morning Rush (7:30 AM – 10:30 AM),124,Rainy,Entry Point,High
2024-01-10,Wednesday,Rampura,Midday (10:30 AM – 2:00 PM),154,Rainy,Flyover,Low
2024-01-10,Wednesday,Rampura,Afternoon (2:00 PM – 4:30 PM),358,Sunny,Arterial Road,High
2024-01-10,Wednesday,Rampura,Evening Rush (4:30 PM – 8:00 PM),393,Sunny,Commercial Street,Low
2024-01-10,Wednesday,Rampura,Night (8:00 PM – 11:00 PM),249,Rainy,Commercial Street,Low
2024-01-10,Wednesday,Rampura,Late Night (11:00 PM – 5:00 AM),485,Cloudy,Flyover,Medium
2024-01-10,Wednesday,Tejgaon,Early Morning (5:00 AM – 7:30 AM),189,Rainy,Flyover,Medium
2024-01-10,Wednesday,Tejgaon,Morning Rush (7:30 AM – 10:30 AM),255,Rainy,Highway,High
2024-01-10,Wednesday,Tejgaon,Midday (10:30 AM – 2:00 PM),497,Sunny,Arterial Road,Low
2024-01-10,Wednesday,Tejgaon,Afternoon (2:00 PM – 4:30 PM),457,Cloudy,Commercial Street,Medium
2024-01-10,Wednesday,Tejgaon,Evening Rush (4:30 PM – 8:00 PM),380,Rainy,Arterial Road,Low
2024-01-10,Wednesday,Tejgaon,Night (8:00 PM – 11:00 PM),200,Rainy,Commercial Street,Low
2024-01-10,Wednesday,Tejgaon,Late Night (11:00 PM – 5:00 AM),327,Sunny,Arterial Road,High
2024-01-10,Wednesday,New Market,Early Morning (5:00 AM – 7:30 AM),409,Cloudy,Residential Street,Low
2024-01-10,Wednesday,New Market,Morning Rush (7:30 AM – 10:30 AM),155,Sunny,Highway,High
2024-01-10,Wednesday,New Market,Midday (10:30 AM – 2:00 PM),346,Sunny,Flyover,Low
2024-01-10,Wednesday,New Market,Afternoon (2:00 PM – 4:30 PM),350,Cloudy,Flyover,High
2024-01-10,Wednesday,New Market,Evening Rush (4:30 PM – 8:00 PM),449,Cloudy,Arterial Road,Medium
2024-01-10,Wednesday,New Market,Night (8:00 PM – 11:00 PM),431,Rainy,Commercial Street,Low
2024-01-10,Wednesday,New Market,Late Night (11:00 PM – 5:00 AM),140,Rainy,Commercial Street,Low
2024-01-10,Wednesday,Dhanmondi,Early Morning (5:00 AM – 7:30 AM),277,Sunny,Flyover,Medium
2024-01-10,Wednesday,Dhanmondi,Morning Rush (7:30 AM – 10:30 AM),424,Rainy,Entry Point,Low
2024-01-10,Wednesday,Dhanmondi,Midday (10:30 AM – 2:00 PM),463,Cloudy,Flyover,Low
2024-01-10,Wednesday,Dhanmondi,Afternoon (2:00 PM – 4:30 PM),191,Rainy,Highway,High
2024-01-10,Wednesday,Dhanmondi,Evening Rush (4:30 PM – 8:00 PM),484,Rainy,Commercial Street,High
2024-01-10,Wednesday,Dhanmondi,Night (8:00 PM – 11:00 PM),282,Rainy,Residential Street,Low
2024-01-10,Wednesday,Dhanmondi,Late Night (11:00 PM – 5:00 AM),290,Cloudy,Residential Street,Low
2024-01-10,Wednesday,Paltan,Early Morning (5:00 AM – 7:30 AM),111,Rainy,Entry Point,High
2024-01-10,Wednesday,Paltan,Morning Rush (7:30 AM – 10:30 AM),256,Sunny,Residential Street,Medium
2024-01-10,Wednesday,Paltan,Midday (10:30 AM – 2:00 PM),158,Cloudy,Highway,Low
2024-01-10,Wednesday,Paltan,Afternoon (2:00 PM – 4:30 PM),301,Sunny,Entry Point,Low
2024-01-10,Wednesday,Paltan,Evening Rush (4:30 PM – 8:00 PM),447,Sunny,Entry Point,Medium
2024-01-10,Wednesday,Paltan,Night (8:00 PM – 11:00 PM),495,Rainy,Commercial Street,Low
2024-01-10,Wednesday,Paltan,Late Night (11:00 PM – 5:00 AM),161,Rainy,Flyover,High
2024-01-10,Wednesday,Malibagh,Early Morning (5:00 AM – 7:30 AM),350,Rainy,Arterial Road,High
2024-01-10,Wednesday,Malibagh,Morning Rush (7:30 AM – 10:30 AM),354,Rainy,Residential Street,High
2024-01-10,Wednesday,Malibagh,Midday (10:30 AM – 2:00 PM),316,Rainy,Entry Point,Low
2024-01-10,Wednesday,Malibagh,Afternoon (2:00 PM – 4:30 PM),357,Sunny,Arterial Road,Medium
2024-01-10,Wednesday,Malibagh,Evening Rush (4:30 PM – 8:00 PM),478,Sunny,Flyover,Medium
2024-01-10,Wednesday,Malibagh,Night (8:00 PM – 11:00 PM),451,Cloudy,Residential Street,Medium
2024-01-10,Wednesday,Malibagh,Late Night (11:00 PM – 5:00 AM),216,Cloudy,Highway,Low
2024-01-10,Wednesday,Keraniganj,Early Morning (5:00 AM – 7:30 AM),453,Sunny,Flyover,High
2024-01-10,Wednesday,Keraniganj,Morning Rush (7:30 AM – 10:30 AM),273,Rainy,Highway,High
2024-01-10,Wednesday,Keraniganj,Midday (10:30 AM – 2:00 PM),340,Rainy,Highway,High
2024-01-10,Wednesday,Keraniganj,Afternoon (2:00 PM – 4:30 PM),170,Cloudy,Flyover,Low
2024-01-10,Wednesday,Keraniganj,Evening Rush (4:30 PM – 8:00 PM),326,Sunny,Entry Point,Low
2024-01-10,Wednesday,Keraniganj,Night (8:00 PM – 11:00 PM),312,Rainy,Entry Point,High
2024-01-10,Wednesday,Keraniganj,Late Night (11:00 PM – 5:00 AM),488,Rainy,Residential Street,Low
2024-01-10,Wednesday,Tongi,Early Morning (5:00 AM – 7:30 AM),279,Cloudy,Highway,Low
2024-01-10,Wednesday,Tongi,Morning Rush (7:30 AM – 10:30 AM),365,Sunny,Residential Street,Low
2024-01-10,Wednesday,Tongi,Midday (10:30 AM – 2:00 PM),425,Sunny,Highway,High
2024-01-10,Wednesday,Tongi,Afternoon (2:00 PM – 4:30 PM),188,Rainy,Residential Street,High
2024-01-10,Wednesday,Tongi,Evening Rush (4:30 PM – 8:00 PM),391,Rainy,Arterial Road,High
2024-01-10,Wednesday,Tongi,Night (8:00 PM – 11:00 PM),272,Sunny,Commercial Street,Medium
2024-01-10,Wednesday,Tongi,Late Night (11:00 PM – 5:00 AM),429,Sunny,Arterial Road,Medium
2024-01-10,Wednesday,Savar Entry Point,Early Morning (5:00 AM – 7:30 AM),447,Cloudy,Arterial Road,Medium
2024-01-10,Wednesday,Savar Entry Point,Morning Rush (7:30 AM – 10:30 AM),452,Rainy,Entry Point,Low
2024-01-10,Wednesday,Savar Entry Point,Midday (10:30 AM – 2:00 PM),344,Cloudy,Flyover,Medium
2024-01-10,Wednesday,Savar Entry Point,Afternoon (2:00 PM – 4:30 PM),258,Sunny,Commercial Street,High
2024-01-10,Wednesday,Savar Entry Point,Evening Rush (4:30 PM – 8:00 PM),389,Cloudy,Commercial Street,High
2024-01-10,Wednesday,Savar Entry Point,Night (8:00 PM – 11:00 PM),157,Cloudy,Highway,Low
2024-01-10,Wednesday,Savar Entry Point,Late Night (11:00 PM – 5:00 AM),250,Rainy,Arterial Road,Low
2024-01-10,Wednesday,Ashulia,Early Morning (5:00 AM – 7:30 AM),249,Cloudy,Arterial Road,Low
2024-01-10,Wednesday,Ashulia,Morning Rush (7:30 AM – 10:30 AM),219,Cloudy,Entry Point,Medium
2024-01-10,Wednesday,Ashulia,Midday (10:30 AM – 2:00 PM),496,Sunny,Highway,High
2024-01-10,Wednesday,Ashulia,Afternoon (2:00 PM – 4:30 PM),409,Cloudy,Flyover,High
2024-01-10,Wednesday,Ashulia,Evening Rush (4:30 PM – 8:00 PM),361,Sunny,Commercial Street,Medium
2024-01-10,Wednesday,Ashulia,Night (8:00 PM – 11:00 PM),336,Cloudy,Arterial Road,High
2024-01-10,Wednesday,Ashulia,Late Night (11:00 PM – 5:00 AM),172,Sunny,Residential Street,Medium
2024-01-10,Wednesday,Pragati Sarani,Early Morning (5:00 AM – 7:30 AM),195,Sunny,Arterial Road,Medium
2024-01-10,Wednesday,Pragati Sarani,Morning Rush (7:30 AM – 10:30 AM),276,Rainy,Flyover,High
2024-01-10,Wednesday,Pragati Sarani,Midday (10:30 AM – 2:00 PM),175,Sunny,Arterial Road,High
2024-01-10,Wednesday,Pragati Sarani,Afternoon (2:00 PM – 4:30 PM),181,Rainy,Commercial Street,Medium
2024-01-10,Wednesday,Pragati Sarani,Evening Rush (4:30 PM – 8:00 PM),358,Rainy,Highway,High
2024-01-10,Wednesday,Pragati Sarani,Night (8:00 PM – 11:00 PM),182,Cloudy,Highway,High
2024-01-10,Wednesday,Pragati Sarani,Late Night (11:00 PM – 5:00 AM),472,Cloudy,Flyover,Medium
2024-01-11,Thursday,Farmgate,Early Morning (5:00 AM – 7:30 AM),457,Cloudy,Commercial Street,Medium
2024-01-11,Thursday,Farmgate,Morning Rush (7:30 AM – 10:30 AM),332,Rainy,Highway,Medium
2024-01-11,Thursday,Farmgate,Midday (10:30 AM – 2:00 PM),425,Cloudy,Highway,Low
2024-01-11,Thursday,Farmgate,Afternoon (2:00 PM – 4:30 PM),176,Sunny,Flyover,High
2024-01-11,Thursday,Farmgate,Evening Rush (4:30 PM – 8:00 PM),268,Sunny,Arterial Road,Medium
2024-01-11,Thursday,Farmgate,Night (8:00 PM – 11:00 PM),363,Rainy,Commercial Street,Low
2024-01-11,Thursday,Farmgate,Late Night (11:00 PM – 5:00 AM),449,Rainy,Highway,Medium
2024-01-11,Thursday,Mohakhali,Early Morning (5:00 AM – 7:30 AM),209,Rainy,Commercial Street,Medium
2024-01-11,Thursday,Mohakhali,Morning Rush (7:30 AM – 10:30 AM),232,Rainy,Flyover,Low
2024-01-11,Thursday,Mohakhali,Midday (10:30 AM – 2:00 PM),227,Sunny,Arterial Road,High
2024-01-11,Thursday,Mohakhali,Afternoon (2:00 PM – 4:30 PM),497,Sunny,Entry Point,High
2024-01-11,Thursday,Mohakhali,Evening Rush (4:30 PM – 8:00 PM),118,Rainy,Entry Point,Low
2024-01-11,Thursday,Mohakhali,Night (8:00 PM – 11:00 PM),132,Rainy,Residential Street,Medium
2024-01-11,Thursday,Mohakhali,Late Night (11:00 PM – 5:00 AM),481,Rainy,Flyover,Medium
2024-01-11,Thursday,Gulshan-2,Early Morning (5:00 AM – 7:30 AM),464,Rainy,Commercial Street,High
2024-01-11,Thursday,Gulshan-2,Morning Rush (7:30 AM – 10:30 AM),348,Cloudy,Highway,Low
2024-01-11,Thursday,Gulshan-2,Midday (10:30 AM – 2:00 PM),420,Rainy,Entry Point,Low
2024-01-11,Thursday,Gulshan-2,Afternoon (2:00 PM – 4:30 PM),273,Sunny,Arterial Road,High
2024-01-11,Thursday,Gulshan-2,Evening Rush (4:30 PM – 8:00 PM),211,Cloudy,Residential Street,High
2024-01-11,Thursday,Gulshan-2,Night (8:00 PM – 11:00 PM),293,Cloudy,Arterial Road,Low
2024-01-11,Thursday,Gulshan-2,Late Night (11:00 PM – 5:00 AM),355,Rainy,Commercial Street,Low
2024-01-11,Thursday,Jatrabari,Early Morning (5:00 AM – 7:30 AM),427,Cloudy,Highway,Low
2024-01-11,Thursday,Jatrabari,Morning Rush (7:30 AM – 10:30 AM),281,Sunny,Residential Street,High
2024-01-11,Thursday,Jatrabari,Midday (10:30 AM – 2:00 PM),290,Cloudy,Arterial Road,Low
2024-01-11,Thursday,Jatrabari,Afternoon (2:00 PM – 4:30 PM),323,Cloudy,Entry Point,Low
2024-01-11,Thursday,Jatrabari,Evening Rush (4:30 PM – 8:00 PM),310,Sunny,Arterial Road,Low
2024-01-11,Thursday,Jatrabari,Night (8:00 PM – 11:00 PM),211,Rainy,Arterial Road,Medium
2024-01-11,Thursday,Jatrabari,Late Night (11:00 PM – 5:00 AM),469,Sunny,Arterial Road,High
2024-01-11,Thursday,Uttara Sector 7,Early Morning (5:00 AM – 7:30 AM),437,Cloudy,Residential Street,High
2024-01-11,Thursday,Uttara Sector 7,Morning Rush (7:30 AM – 10:30 AM),210,Sunny,Flyover,Medium
2024-01-11,Thursday,Uttara Sector 7,Midday (10:30 AM – 2:00 PM),104,Rainy,Entry Point,High
2024-01-11,Thursday,Uttara Sector 7,Afternoon (2:00 PM – 4:30 PM),253,Sunny,Highway,High
2024-01-11,Thursday,Uttara Sector 7,Evening Rush (4:30 PM – 8:00 PM),347,Rainy,Entry Point,High
2024-01-11,Thursday,Uttara Sector 7,Night (8:00 PM – 11:00 PM),172,Rainy,Residential Street,Low
2024-01-11,Thursday,Uttara Sector 7,Late Night (11:00 PM – 5:00 AM),365,Rainy,Entry Point,Medium
2024-01-11,Thursday,Motijheel,Early Morning (5:00 AM – 7:30 AM),172,Sunny,Entry Point,High
2024-01-11,Thursday,Motijheel,Morning Rush (7:30 AM – 10:30 AM),495,Sunny,Arterial Road,Medium
2024-01-11,Thursday,Motijheel,Midday (10:30 AM – 2:00 PM),101,Sunny,Highway,High
2024-01-11,Thursday,Motijheel,Afternoon (2:00 PM – 4:30 PM),408,Cloudy,Arterial Road,Medium
2024-01-11,Thursday,Motijheel,Evening Rush (4:30 PM – 8:00 PM),176,Cloudy,Entry Point,Low
2024-01-11,Thursday,Motijheel,Night (8:00 PM – 11:00 PM),183,Cloudy,Residential Street,Low
2024-01-11,Thursday,Motijheel,Late Night (11:00 PM – 5:00 AM),173,Sunny,Highway,Low
2024-01-11,Thursday,Shahbagh,Early Morning (5:00 AM – 7:30 AM),188,Cloudy,Flyover,High
2024-01-11,Thursday,Shahbagh,Morning Rush (7:30 AM – 10:30 AM),203,Rainy,Residential Street,Medium
2024-01-11,Thursday,Shahbagh,Midday (10:30 AM – 2:00 PM),222,Sunny,Flyover,Medium
2024-01-11,Thursday,Shahbagh,Afternoon (2:00 PM – 4:30 PM),156,Cloudy,Commercial Street,Low
2024-01-11,Thursday,Shahbagh,Evening Rush (4:30 PM – 8:00 PM),228,Rainy,Residential Street,Low
2024-01-11,Thursday,Shahbagh,Night (8:00 PM – 11:00 PM),128,Cloudy,Arterial Road,Medium
2024-01-11,Thursday,Shahbagh,Late Night (11:00 PM – 5:00 AM),478,Rainy,Residential Street,High
2024-01-11,Thursday,Mirpur-10,Early Morning (5:00 AM – 7:30 AM),465,Rainy,Highway,High
2024-01-11,Thursday,Mirpur-10,Morning Rush (7:30 AM – 10:30 AM),306,Cloudy,Highway,High
2024-01-11,Thursday,Mirpur-10,Midday (10:30 AM – 2:00 PM),356,Sunny,Commercial Street,High
2024-01-11,Thursday,Mirpur-10,Afternoon (2:00 PM – 4:30 PM),381,Sunny,Arterial Road,High
2024-01-11,Thursday,Mirpur-10,Evening Rush (4:30 PM – 8:00 PM),438,Sunny,Commercial Street,Low
2024-01-11,Thursday,Mirpur-10,Night (8:00 PM – 11:00 PM),266,Sunny,Flyover,Medium
2024-01-11,Thursday,Mirpur-10,Late Night (11:00 PM – 5:00 AM),390,Cloudy,Entry Point,Low
2024-01-11,Thursday,Gabtoli,Early Morning (5:00 AM – 7:30 AM),446,Rainy,Commercial Street,High
2024-01-11,Thursday,Gabtoli,Morning Rush (7:30 AM – 10:30 AM),112,Cloudy,Residential Street,Low
2024-01-11,Thursday,Gabtoli,Midday (10:30 AM – 2:00 PM),267,Cloudy,Entry Point,Low
2024-01-11,Thursday,Gabtoli,Afternoon (2:00 PM – 4:30 PM),172,Rainy,Flyover,Low
2024-01-11,Thursday,Gabtoli,Evening Rush (4:30 PM – 8:00 PM),438,Cloudy,Flyover,Medium
2024-01-11,Thursday,Gabtoli,Night (8:00 PM – 11:00 PM),406,Rainy,Commercial Street,High
2024-01-11,Thursday,Gabtoli,Late Night (11:00 PM – 5:00 AM),433,Sunny,Entry Point,Low
2024-01-11,Thursday,Rampura,Early Morning (5:00 AM – 7:30 AM),249,Rainy,Flyover,High
2024-01-11,Thursday,Rampura,Morning Rush (7:30 AM – 10:30 AM),169,Cloudy,Residential Street,Medium
2024-01-11,Thursday,Rampura,Midday (10:30 AM – 2:00 PM),334,Sunny,Residential Street,Medium
2024-01-11,Thursday,Rampura,Afternoon (2:00 PM – 4:30 PM),121,Rainy,Highway,High
2024-01-11,Thursday,Rampura,Evening Rush (4:30 PM – 8:00 PM),425,Sunny,Residential Street,Medium
2024-01-11,Thursday,Rampura,Night (8:00 PM – 11:00 PM),333,Rainy,Highway,Medium
2024-01-11,Thursday,Rampura,Late Night (11:00 PM – 5:00 AM),451,Rainy,Highway,Low
2024-01-11,Thursday,Tejgaon,Early Morning (5:00 AM – 7:30 AM),205,Rainy,Flyover,Medium
2024-01-11,Thursday,Tejgaon,Morning Rush (7:30 AM – 10:30 AM),294,Sunny,Commercial Street,Low
2024-01-11,Thursday,Tejgaon,Midday (10:30 AM – 2:00 PM),431,Sunny,Highway,Low
2024-01-11,Thursday,Tejgaon,Afternoon (2:00 PM – 4:30 PM),151,Rainy,Entry Point,High
2024-01-11,Thursday,Tejgaon,Evening Rush (4:30 PM – 8:00 PM),218,Sunny,Flyover,Low
2024-01-11,Thursday,Tejgaon,Night (8:00 PM – 11:00 PM),223,Sunny,Commercial Street,Medium
2024-01-11,Thursday,Tejgaon,Late Night (11:00 PM – 5:00 AM),203,Rainy,Highway,Low
2024-01-11,Thursday,New Market,Early Morning (5:00 AM – 7:30 AM),143,Cloudy,Flyover,Low
2024-01-11,Thursday,New Market,Morning Rush (7:30 AM – 10:30 AM),224,Sunny,Entry Point,High
