Interaction_ID,Customer_ID,Date,Channel,Issue_Type,Outcome,Satisfaction_Score
INT0002878,205400626,8/8/2022,Voice,Card Issues,resolved,5
INT0002879,205403442,6/1/2023,Physical,Digital Banking Errors,resolved,4
INT0002880,205403644,12/22/2023,Voice,Transaction Failures,resolved,5
INT0002881,205403923,7/11/2022,Physical,Customer Service,resolved,4
INT0002882,205401828,4/17/2023,Self Service,Loan & Credit Problems,resolved,5
INT0002883,205403047,11/21/2023,Digital,Transaction Failures,resolved,4
INT0002884,205402500,8/20/2022,Digital,Others,pending,1
INT0002885,205400682,6/9/2022,Self Service,Digital Banking Errors,resolved,4
INT0002886,205400194,9/20/2022,Self Service,Transaction Failures,resolved,3
INT0002887,205401872,12/25/2022,Self Service,Others,resolved,3
INT0002888,205403251,3/17/2024,Voice,Digital Banking Errors,resolved,4
INT0002889,205400136,4/26/2024,Physical,Customer Service,escalated,1
INT0002890,205401871,11/9/2024,Voice,Card Issues,escalated,2
INT0002891,205400808,12/13/2022,Physical,Customer Service,pending,3
INT0002892,205400148,9/21/2022,Physical,Customer Service,resolved,4
INT0002893,205401557,10/18/2023,Digital,Customer Service,resolved,3
INT0002894,205403024,1/25/2023,Self Service,Customer Service,pending,2
INT0002895,205404102,3/22/2024,Self Service,Others,resolved,5
INT0002896,205400670,5/12/2023,Digital,Digital Banking Errors,pending,1
INT0002897,205401652,12/18/2022,Self Service,Customer Service,resolved,5
INT0002898,205404990,5/25/2022,Digital,Others,resolved,5
INT0002899,205400909,6/1/2022,Physical,Transaction Failures,escalated,1
INT0002900,205402066,4/25/2024,Physical,Customer Service,pending,3
INT0002901,205403403,2/7/2024,Voice,Customer Service,resolved,4
INT0002902,205400425,12/15/2024,Digital,Transaction Failures,resolved,5
INT0002903,205401535,11/25/2022,Voice,Transaction Failures,pending,1
INT0002904,205404129,12/24/2024,Physical,Others,resolved,4
INT0002905,205401649,7/2/2023,Voice,Loan & Credit Problems,resolved,3
INT0002906,205400176,1/18/2024,Self Service,Customer Service,resolved,4
INT0002907,205404919,3/30/2023,Digital,Loan & Credit Problems,resolved,5
INT0002908,205402232,11/27/2022,Self Service,Loan & Credit Problems,pending,3
INT0002909,205400273,6/24/2022,Digital,Others,escalated,3
INT0002910,205401215,2/28/2023,Self Service,Transaction Failures,resolved,4
INT0002911,205400775,3/22/2022,Digital,Card Issues,pending,3
INT0002912,205403400,4/7/2022,Voice,Customer Service,resolved,5
INT0002913,205400215,7/31/2023,Self Service,Others,resolved,5
INT0002914,205403751,4/10/2024,Voice,Others,pending,3
INT0002915,205400272,4/14/2022,Physical,Card Issues,resolved,4
INT0002916,205402282,10/13/2022,Self Service,Loan & Credit Problems,resolved,4
INT0002917,205401953,12/3/2022,Voice,Transaction Failures,resolved,3
INT0002918,205401464,12/10/2023,Digital,Digital Banking Errors,escalated,2
INT0002919,205401607,4/13/2023,Self Service,Digital Banking Errors,escalated,1
INT0002920,205404765,7/14/2023,Physical,Card Issues,resolved,5
INT0002921,205402347,3/15/2023,Voice,Transaction Failures,pending,3
INT0002922,205400670,6/12/2024,Voice,Others,pending,1
INT0002923,205401831,3/5/2022,Voice,Loan & Credit Problems,resolved,5
INT0002924,205402590,9/12/2024,Physical,Customer Service,resolved,5
INT0002925,205401709,9/1/2022,Voice,Transaction Failures,resolved,5
INT0002926,205404206,7/28/2022,Digital,Loan & Credit Problems,resolved,4
INT0002927,205404549,11/30/2024,Self Service,Loan & Credit Problems,escalated,1
INT0002928,205401902,11/21/2023,Voice,Loan & Credit Problems,resolved,3
INT0002929,205401161,9/26/2022,Self Service,Card Issues,escalated,1
INT0002930,205403423,9/11/2023,Digital,Transaction Failures,resolved,4
INT0002931,205401157,1/29/2023,Digital,Card Issues,resolved,5
INT0002932,205402765,6/15/2024,Voice,Digital Banking Errors,resolved,4
INT0002933,205400885,11/6/2022,Physical,Transaction Failures,resolved,5
INT0002934,205401413,9/13/2022,Digital,Customer Service,resolved,3
INT0002935,205404396,11/14/2024,Self Service,Others,escalated,1
INT0002936,205400822,6/10/2024,Voice,Card Issues,resolved,3
INT0002937,205400086,11/4/2022,Voice,Others,pending,2
INT0002938,205402392,12/9/2023,Digital,Others,resolved,5
INT0002939,205403475,5/24/2024,Digital,Loan & Credit Problems,resolved,3
INT0002940,205403078,10/30/2023,Voice,Digital Banking Errors,resolved,4
INT0002941,205404617,11/19/2022,Voice,Card Issues,resolved,3
INT0002942,205400329,1/10/2023,Self Service,Digital Banking Errors,pending,2
INT0002943,205402437,4/20/2024,Physical,Others,resolved,5
INT0002944,205402384,10/4/2023,Voice,Digital Banking Errors,resolved,5
INT0002945,205403705,12/17/2022,Digital,Transaction Failures,resolved,5
INT0002946,205403166,11/13/2024,Self Service,Card Issues,escalated,2
INT0002947,205404279,6/8/2022,Self Service,Digital Banking Errors,resolved,5
INT0002948,205400379,8/13/2023,Voice,Others,resolved,3
INT0002949,205402565,11/21/2022,Digital,Others,resolved,5
INT0002950,205402765,8/31/2024,Self Service,Digital Banking Errors,pending,2
INT0002951,205404511,1/31/2023,Digital,Transaction Failures,resolved,4
INT0002952,205401576,3/20/2022,Physical,Loan & Credit Problems,resolved,3
INT0002953,205403980,8/7/2024,Digital,Others,resolved,5
INT0002954,205400729,1/9/2024,Self Service,Loan & Credit Problems,resolved,4
INT0002955,205400511,11/25/2023,Physical,Card Issues,resolved,4
INT0002956,205401322,9/21/2024,Digital,Customer Service,resolved,5
INT0002957,205400581,12/30/2024,Physical,Card Issues,resolved,4
INT0002958,205403539,3/7/2024,Voice,Others,resolved,4
INT0002959,205403547,10/15/2022,Digital,Others,pending,1
INT0002960,205403456,10/23/2023,Digital,Digital Banking Errors,resolved,5
INT0002961,205403288,10/16/2023,Physical,Digital Banking Errors,pending,2
INT0002962,205402233,12/3/2022,Digital,Card Issues,resolved,5
INT0002963,205404546,7/10/2024,Voice,Customer Service,resolved,5
INT0002964,205400221,1/13/2022,Physical,Card Issues,escalated,1
INT0002965,205404893,2/25/2023,Physical,Others,resolved,5
INT0002966,205401696,11/20/2024,Digital,Loan & Credit Problems,resolved,5
INT0002967,205402434,2/1/2023,Self Service,Digital Banking Errors,resolved,5
INT0002968,205400047,2/28/2023,Voice,Digital Banking Errors,resolved,4
INT0002969,205400320,10/17/2024,Digital,Digital Banking Errors,resolved,5
INT0002970,205403241,5/8/2024,Digital,Loan & Credit Problems,resolved,4
INT0002971,205403623,6/10/2024,Digital,Digital Banking Errors,pending,3
INT0002972,205403150,6/2/2024,Digital,Transaction Failures,resolved,4
INT0002973,205401938,5/13/2022,Physical,Customer Service,escalated,3
INT0002974,205402198,5/19/2022,Voice,Transaction Failures,resolved,5
INT0002975,205404583,6/17/2024,Self Service,Digital Banking Errors,resolved,5
INT0002976,205402658,11/20/2023,Physical,Digital Banking Errors,pending,1
INT0002977,205400880,6/19/2023,Physical,Others,escalated,1
INT0002978,205400313,6/7/2024,Voice,Transaction Failures,resolved,5
INT0002979,205400109,6/30/2022,Voice,Transaction Failures,escalated,2
INT0002980,205401011,5/18/2023,Self Service,Loan & Credit Problems,resolved,5
INT0002981,205401414,12/29/2024,Digital,Card Issues,resolved,5
INT0002982,205403165,6/12/2023,Physical,Card Issues,pending,1
INT0002983,205400781,4/9/2024,Physical,Customer Service,escalated,1
INT0002984,205400786,11/4/2023,Self Service,Others,resolved,4
INT0002985,205402686,8/12/2022,Physical,Digital Banking Errors,resolved,4
INT0002986,205400150,9/23/2024,Physical,Customer Service,resolved,4
INT0002987,205400240,5/17/2024,Digital,Others,pending,2
INT0002988,205400813,10/13/2022,Physical,Digital Banking Errors,pending,3
INT0002989,205401273,12/23/2024,Self Service,Loan & Credit Problems,resolved,4
INT0002990,205403588,5/18/2022,Physical,Digital Banking Errors,resolved,5
INT0002991,205402863,3/14/2024,Physical,Transaction Failures,escalated,2
INT0002992,205400155,1/9/2023,Digital,Others,resolved,5
INT0002993,205403652,5/13/2024,Physical,Others,resolved,4
INT0002994,205404562,4/18/2024,Digital,Transaction Failures,resolved,5
INT0002995,205401161,9/28/2023,Voice,Digital Banking Errors,resolved,5
INT0002996,205404768,12/12/2023,Digital,Loan & Credit Problems,pending,3
INT0002997,205401110,10/24/2024,Digital,Loan & Credit Problems,resolved,5
INT0002998,205402252,1/2/2023,Self Service,Customer Service,escalated,2
INT0002999,205404089,8/11/2023,Voice,Customer Service,resolved,5
INT0003000,205401003,3/8/2023,Voice,Customer Service,resolved,5
INT0003001,205404421,2/14/2022,Physical,Card Issues,pending,3
INT0003002,205402758,3/21/2022,Digital,Others,resolved,5
INT0003003,205403688,10/8/2022,Digital,Digital Banking Errors,resolved,5
INT0003004,205401098,8/12/2022,Self Service,Customer Service,resolved,3
INT0003005,205404277,10/25/2024,Physical,Transaction Failures,resolved,5
INT0003006,205403202,12/11/2022,Voice,Others,pending,2
INT0003007,205400744,3/30/2023,Physical,Customer Service,resolved,5
INT0003008,205404196,5/22/2022,Self Service,Customer Service,resolved,3
INT0003009,205401049,8/11/2022,Self Service,Customer Service,escalated,1
INT0003010,205401361,3/23/2023,Digital,Transaction Failures,resolved,5
INT0003011,205401842,6/12/2022,Digital,Card Issues,pending,3
INT0003012,205404768,7/14/2024,Digital,Card Issues,pending,1
INT0003013,205404682,12/28/2024,Self Service,Transaction Failures,pending,1
INT0003014,205401425,2/5/2022,Voice,Others,resolved,4
INT0003015,205404773,12/2/2023,Physical,Loan & Credit Problems,pending,3
INT0003016,205404214,7/22/2023,Physical,Others,resolved,5
INT0003017,205404894,3/5/2023,Voice,Others,resolved,4
INT0003018,205401654,6/7/2022,Digital,Digital Banking Errors,resolved,3
INT0003019,205402153,12/16/2024,Voice,Digital Banking Errors,pending,3
INT0003020,205401777,1/10/2022,Digital,Customer Service,resolved,4
INT0003021,205400831,12/27/2024,Voice,Transaction Failures,pending,2
INT0003022,205404903,2/8/2023,Self Service,Customer Service,resolved,5
INT0003023,205400653,8/24/2022,Voice,Loan & Credit Problems,pending,4
INT0003024,205400720,4/30/2024,Digital,Digital Banking Errors,resolved,5
INT0003025,205404249,8/3/2022,Voice,Card Issues,resolved,4
INT0003026,205400263,7/20/2024,Voice,Loan & Credit Problems,resolved,3
INT0003027,205404560,2/7/2022,Voice,Digital Banking Errors,escalated,1
INT0003028,205400458,11/16/2023,Voice,Card Issues,pending,3
INT0003029,205400189,4/13/2022,Self Service,Digital Banking Errors,resolved,5
INT0003030,205403376,5/21/2022,Voice,Loan & Credit Problems,pending,2
INT0003031,205401918,11/9/2023,Physical,Loan & Credit Problems,resolved,4
INT0003032,205403505,7/12/2022,Digital,Customer Service,resolved,4
INT0003033,205402286,12/19/2022,Digital,Customer Service,resolved,5
INT0003034,205401979,4/16/2022,Digital,Card Issues,resolved,5
INT0003035,205401187,11/18/2022,Physical,Digital Banking Errors,pending,2
INT0003036,205403836,4/1/2024,Digital,Digital Banking Errors,pending,1
INT0003037,205400955,2/2/2024,Voice,Transaction Failures,pending,3
INT0003038,205400167,11/18/2022,Digital,Digital Banking Errors,resolved,4
INT0003039,205403578,4/2/2024,Physical,Card Issues,resolved,4
INT0003040,205400945,11/20/2023,Physical,Digital Banking Errors,resolved,5
INT0003041,205402174,5/22/2022,Self Service,Customer Service,resolved,5
INT0003042,205403801,2/27/2024,Voice,Others,escalated,2
INT0003043,205401885,9/4/2024,Self Service,Digital Banking Errors,resolved,4
INT0003044,205400233,3/26/2024,Self Service,Card Issues,resolved,5
INT0003045,205401282,8/29/2022,Physical,Transaction Failures,resolved,5
INT0003046,205404963,8/10/2022,Self Service,Customer Service,pending,2
INT0003047,205402240,12/6/2024,Voice,Transaction Failures,resolved,5
INT0003048,205400001,1/25/2023,Physical,Customer Service,resolved,5
INT0003049,205400701,4/27/2022,Digital,Loan & Credit Problems,resolved,4
INT0003050,205402798,4/16/2023,Voice,Customer Service,resolved,3
INT0003051,205403086,4/8/2023,Physical,Card Issues,resolved,4
INT0003052,205403203,8/21/2022,Voice,Digital Banking Errors,resolved,5
INT0003053,205400388,1/19/2022,Self Service,Digital Banking Errors,resolved,5
INT0003054,205402819,9/6/2024,Digital,Customer Service,resolved,5
INT0003055,205404409,1/26/2022,Voice,Digital Banking Errors,pending,2
INT0003056,205401755,5/24/2024,Self Service,Digital Banking Errors,resolved,4
INT0003057,205402481,3/23/2024,Physical,Card Issues,escalated,1
INT0003058,205401820,5/17/2022,Digital,Transaction Failures,escalated,3
INT0003059,205403506,6/27/2024,Physical,Loan & Credit Problems,resolved,5
INT0003060,205400581,7/14/2023,Digital,Loan & Credit Problems,escalated,1
INT0003061,205400801,4/10/2024,Physical,Loan & Credit Problems,pending,1
INT0003062,205404649,5/28/2023,Physical,Digital Banking Errors,resolved,5
INT0003063,205402735,4/25/2024,Voice,Customer Service,pending,3
INT0003064,205404733,12/18/2022,Voice,Loan & Credit Problems,resolved,5
INT0003065,205401387,12/20/2024,Self Service,Others,pending,3
INT0003066,205400240,10/11/2022,Self Service,Transaction Failures,escalated,2
INT0003067,205400599,10/7/2022,Self Service,Others,resolved,5
INT0003068,205403605,8/4/2022,Physical,Transaction Failures,resolved,5
INT0003069,205402023,9/4/2023,Digital,Card Issues,resolved,4
INT0003070,205404829,4/25/2022,Digital,Customer Service,resolved,5
INT0003071,205403956,6/17/2023,Digital,Customer Service,resolved,4
INT0003072,205401151,8/29/2023,Physical,Transaction Failures,resolved,4
INT0003073,205403496,7/13/2024,Digital,Others,pending,1
INT0003074,205400524,5/31/2022,Voice,Customer Service,pending,3
INT0003075,205402446,7/25/2024,Voice,Digital Banking Errors,resolved,4
INT0003076,205403868,7/13/2023,Voice,Digital Banking Errors,resolved,3
INT0003077,205403784,10/28/2022,Digital,Others,pending,1
INT0003078,205401439,5/31/2022,Self Service,Digital Banking Errors,resolved,5
INT0003079,205400456,4/8/2024,Physical,Digital Banking Errors,resolved,4
INT0003080,205402032,9/9/2023,Physical,Others,resolved,5
INT0003081,205402993,11/16/2024,Voice,Loan & Credit Problems,resolved,5
INT0003082,205401763,1/20/2024,Physical,Others,resolved,5
INT0003083,205403135,8/20/2024,Physical,Card Issues,resolved,3
INT0003084,205402383,10/2/2023,Self Service,Transaction Failures,resolved,3
INT0003085,205400905,2/5/2024,Voice,Transaction Failures,resolved,4
INT0003086,205401797,4/28/2023,Self Service,Customer Service,pending,1
INT0003087,205403528,1/8/2022,Physical,Digital Banking Errors,resolved,4
INT0003088,205402437,3/10/2022,Voice,Loan & Credit Problems,resolved,4
INT0003089,205400376,8/11/2022,Voice,Customer Service,resolved,5
INT0003090,205403999,2/15/2022,Physical,Customer Service,resolved,3
INT0003091,205401309,9/30/2024,Voice,Others,resolved,5
INT0003092,205401329,10/7/2024,Physical,Others,resolved,4
INT0003093,205401675,5/21/2024,Digital,Loan & Credit Problems,resolved,5
INT0003094,205403259,5/27/2023,Self Service,Loan & Credit Problems,resolved,5
INT0003095,205404149,7/15/2022,Voice,Customer Service,resolved,3
INT0003096,205400856,6/18/2022,Self Service,Transaction Failures,resolved,3
INT0003097,205403175,7/4/2022,Voice,Digital Banking Errors,pending,2
INT0003098,205404832,6/2/2024,Voice,Customer Service,resolved,5
INT0003099,205403111,9/29/2024,Digital,Card Issues,resolved,4
INT0003100,205401424,4/13/2024,Physical,Customer Service,resolved,5
INT0003101,205401763,11/27/2022,Digital,Loan & Credit Problems,resolved,4
INT0003102,205401152,6/24/2022,Physical,Transaction Failures,pending,1
INT0003103,205400156,4/5/2024,Self Service,Digital Banking Errors,resolved,4
INT0003104,205403891,2/21/2023,Physical,Customer Service,resolved,4
INT0003105,205402121,10/23/2022,Voice,Digital Banking Errors,resolved,4
INT0003106,205403666,10/21/2024,Physical,Transaction Failures,resolved,4
INT0003107,205400926,9/20/2022,Digital,Digital Banking Errors,resolved,4
INT0003108,205404198,9/2/2024,Self Service,Digital Banking Errors,resolved,5
INT0003109,205404115,7/23/2024,Voice,Transaction Failures,escalated,2
INT0003110,205404312,9/15/2022,Voice,Customer Service,pending,4
INT0003111,205401191,1/3/2024,Self Service,Loan & Credit Problems,pending,2
INT0003112,205404611,6/7/2022,Voice,Others,resolved,5
INT0003113,205404109,5/11/2024,Physical,Loan & Credit Problems,resolved,5
INT0003114,205401095,3/11/2024,Digital,Transaction Failures,resolved,5
INT0003115,205401107,12/16/2024,Self Service,Digital Banking Errors,resolved,5
INT0003116,205402879,1/27/2023,Self Service,Digital Banking Errors,resolved,4
INT0003117,205403827,4/13/2023,Self Service,Digital Banking Errors,pending,1
INT0003118,205401327,6/11/2024,Voice,Digital Banking Errors,resolved,5
INT0003119,205402148,9/30/2022,Self Service,Card Issues,resolved,5
INT0003120,205402194,5/6/2023,Physical,Transaction Failures,escalated,1
INT0003121,205403327,10/18/2022,Voice,Digital Banking Errors,resolved,5
INT0003122,205402520,12/4/2024,Voice,Transaction Failures,resolved,5
INT0003123,205400965,4/15/2023,Digital,Others,resolved,5
INT0003124,205400364,11/11/2022,Voice,Loan & Credit Problems,resolved,5
INT0003125,205401658,12/28/2023,Voice,Transaction Failures,resolved,5
INT0003126,205402134,12/1/2024,Digital,Digital Banking Errors,resolved,5
INT0003127,205403516,11/25/2023,Physical,Others,resolved,5
INT0003128,205403271,3/22/2023,Self Service,Digital Banking Errors,resolved,5
INT0003129,205402641,2/14/2022,Physical,Others,pending,3
INT0003130,205401262,1/14/2023,Voice,Transaction Failures,escalated,1
INT0003131,205402246,3/7/2024,Self Service,Card Issues,pending,3
INT0003132,205404233,2/24/2023,Voice,Card Issues,resolved,3
INT0003133,205402921,12/11/2024,Voice,Others,resolved,5
INT0003134,205400150,8/22/2024,Digital,Transaction Failures,pending,3
INT0003135,205400340,2/15/2022,Voice,Digital Banking Errors,escalated,1
INT0003136,205404299,2/28/2024,Voice,Customer Service,resolved,5
INT0003137,205400186,10/11/2024,Physical,Transaction Failures,resolved,3
INT0003138,205403030,2/4/2022,Voice,Card Issues,resolved,5
INT0003139,205402509,2/10/2024,Self Service,Customer Service,resolved,5
INT0003140,205400984,3/18/2024,Physical,Loan & Credit Problems,pending,1
INT0003141,205400506,8/2/2023,Self Service,Digital Banking Errors,resolved,4
INT0003142,205400650,6/2/2022,Voice,Transaction Failures,resolved,5
INT0003143,205401131,11/7/2022,Voice,Others,escalated,1
INT0003144,205403457,10/6/2024,Self Service,Digital Banking Errors,resolved,5
INT0003145,205402278,7/19/2022,Voice,Customer Service,escalated,1
INT0003146,205402475,12/6/2024,Digital,Customer Service,resolved,3
INT0003147,205402954,2/22/2024,Digital,Card Issues,resolved,5
INT0003148,205400955,6/7/2022,Self Service,Others,resolved,5
INT0003149,205402969,9/7/2024,Physical,Transaction Failures,resolved,5
INT0003150,205404164,8/27/2024,Voice,Digital Banking Errors,resolved,5
INT0003151,205402526,8/29/2024,Digital,Customer Service,resolved,5
INT0003152,205400522,4/11/2023,Digital,Card Issues,resolved,5
INT0003153,205403341,10/15/2022,Self Service,Card Issues,pending,3
INT0003154,205403946,7/26/2022,Physical,Loan & Credit Problems,resolved,4
INT0003155,205400687,6/20/2022,Self Service,Others,resolved,5
INT0003156,205404775,11/18/2023,Self Service,Card Issues,resolved,5
INT0003157,205402361,9/2/2022,Self Service,Digital Banking Errors,resolved,4
INT0003158,205400372,5/21/2024,Physical,Digital Banking Errors,resolved,4
INT0003159,205400356,1/8/2022,Self Service,Customer Service,resolved,4
INT0003160,205400563,5/24/2022,Digital,Others,resolved,5
INT0003161,205400737,1/5/2024,Digital,Loan & Credit Problems,pending,1
INT0003162,205402747,1/27/2024,Physical,Others,resolved,3
INT0003163,205403654,7/6/2022,Physical,Transaction Failures,pending,3
INT0003164,205402932,10/7/2022,Voice,Digital Banking Errors,resolved,5
INT0003165,205404186,2/13/2022,Digital,Others,resolved,3
INT0003166,205402625,11/16/2022,Voice,Transaction Failures,resolved,3
INT0003167,205404112,1/26/2024,Physical,Others,pending,3
INT0003168,205400769,2/18/2023,Voice,Loan & Credit Problems,pending,2
INT0003169,205400865,9/19/2022,Self Service,Loan & Credit Problems,resolved,5
INT0003170,205404369,4/11/2024,Self Service,Digital Banking Errors,resolved,5
INT0003171,205404984,10/13/2023,Physical,Card Issues,escalated,1
INT0003172,205404618,7/4/2024,Physical,Loan & Credit Problems,pending,3
INT0003173,205404007,3/19/2022,Digital,Card Issues,resolved,4
INT0003174,205402374,8/5/2023,Self Service,Loan & Credit Problems,resolved,5
INT0003175,205404434,6/30/2022,Digital,Digital Banking Errors,resolved,4
INT0003176,205403367,12/31/2022,Self Service,Customer Service,pending,1
INT0003177,205403553,7/7/2022,Self Service,Digital Banking Errors,resolved,4
INT0003178,205400070,1/15/2022,Self Service,Digital Banking Errors,resolved,4
INT0003179,205404685,10/31/2022,Digital,Loan & Credit Problems,escalated,2
INT0003180,205404200,3/2/2024,Digital,Transaction Failures,resolved,5
INT0003181,205402687,7/4/2024,Digital,Card Issues,resolved,3
INT0003182,205403160,10/11/2022,Self Service,Customer Service,resolved,5
INT0003183,205402529,4/16/2024,Digital,Others,resolved,5
INT0003184,205404180,2/6/2024,Digital,Customer Service,resolved,4
INT0003185,205404512,3/1/2022,Physical,Customer Service,resolved,3
INT0003186,205402935,2/10/2024,Digital,Loan & Credit Problems,pending,3
INT0003187,205403325,10/2/2022,Physical,Others,resolved,5
INT0003188,205402984,5/24/2023,Digital,Customer Service,resolved,5
INT0003189,205401859,1/2/2022,Self Service,Card Issues,resolved,3
INT0003190,205403432,5/10/2024,Voice,Others,resolved,3
INT0003191,205400736,4/26/2022,Digital,Customer Service,resolved,5
INT0003192,205403849,11/16/2022,Voice,Digital Banking Errors,resolved,5
INT0003193,205404319,11/25/2023,Physical,Transaction Failures,resolved,4
INT0003194,205400295,2/20/2023,Physical,Loan & Credit Problems,escalated,2
INT0003195,205400760,6/18/2024,Digital,Others,resolved,5
INT0003196,205402808,10/5/2024,Digital,Card Issues,pending,3
INT0003197,205401797,9/23/2023,Physical,Loan & Credit Problems,resolved,5
INT0003198,205403071,5/1/2022,Voice,Loan & Credit Problems,resolved,4
INT0003199,205402762,3/4/2023,Self Service,Customer Service,resolved,5
INT0003200,205404771,4/22/2023,Physical,Others,resolved,5
INT0003201,205402981,10/8/2022,Physical,Digital Banking Errors,resolved,5
INT0003202,205403272,12/26/2023,Digital,Digital Banking Errors,escalated,1
INT0003203,205401864,2/22/2022,Physical,Card Issues,resolved,4
INT0003204,205404670,5/21/2024,Physical,Transaction Failures,resolved,5
INT0003205,205404572,12/28/2022,Voice,Loan & Credit Problems,resolved,4
INT0003206,205402020,5/23/2023,Digital,Transaction Failures,resolved,4
INT0003207,205401271,7/25/2023,Digital,Transaction Failures,resolved,5
INT0003208,205402884,1/29/2023,Voice,Digital Banking Errors,resolved,4
INT0003209,205402384,11/18/2022,Digital,Transaction Failures,resolved,5
INT0003210,205404754,11/22/2022,Voice,Others,resolved,5
INT0003211,205400059,10/11/2024,Digital,Digital Banking Errors,resolved,4
INT0003212,205403039,1/16/2024,Digital,Loan & Credit Problems,resolved,4
INT0003213,205404658,5/27/2024,Voice,Loan & Credit Problems,resolved,5
INT0003214,205401153,4/7/2023,Digital,Others,pending,1
INT0003215,205403104,7/9/2024,Physical,Card Issues,resolved,3
INT0003216,205404010,3/15/2022,Voice,Card Issues,escalated,1
INT0003217,205403389,3/3/2023,Physical,Transaction Failures,resolved,3
INT0003218,205400897,11/13/2022,Digital,Customer Service,escalated,1
INT0003219,205401085,1/28/2023,Digital,Card Issues,resolved,5
INT0003220,205402006,10/10/2022,Voice,Others,resolved,5
INT0003221,205403549,5/30/2023,Self Service,Loan & Credit Problems,resolved,4
INT0003222,205401118,10/19/2024,Digital,Customer Service,resolved,4
INT0003223,205403853,9/12/2023,Physical,Transaction Failures,resolved,5
INT0003224,205404244,2/28/2024,Self Service,Customer Service,pending,1
INT0003225,205404164,1/23/2023,Self Service,Others,resolved,5
INT0003226,205401577,12/2/2024,Digital,Loan & Credit Problems,pending,1
INT0003227,205403556,6/7/2024,Digital,Card Issues,resolved,3
INT0003228,205400225,4/7/2023,Voice,Customer Service,pending,3
INT0003229,205403851,10/24/2022,Digital,Card Issues,resolved,4
INT0003230,205402165,8/12/2024,Physical,Card Issues,pending,3
INT0003231,205402603,6/4/2023,Self Service,Others,resolved,3
INT0003232,205401326,9/18/2022,Self Service,Others,pending,3
INT0003233,205401522,3/30/2023,Self Service,Digital Banking Errors,resolved,4
INT0003234,205402941,3/12/2022,Self Service,Customer Service,resolved,5
INT0003235,205403944,5/19/2024,Physical,Customer Service,resolved,5
INT0003236,205401537,11/6/2022,Physical,Loan & Credit Problems,pending,2
INT0003237,205402425,1/5/2023,Self Service,Others,resolved,5
INT0003238,205403116,8/13/2023,Physical,Loan & Credit Problems,pending,3
INT0003239,205402944,8/10/2023,Voice,Loan & Credit Problems,resolved,5
INT0003240,205401875,10/27/2024,Physical,Card Issues,resolved,4
INT0003241,205404683,7/21/2022,Digital,Loan & Credit Problems,escalated,1
INT0003242,205402065,7/15/2023,Physical,Customer Service,resolved,4
INT0003243,205400860,9/11/2022,Digital,Loan & Credit Problems,pending,1
INT0003244,205401702,10/24/2022,Digital,Loan & Credit Problems,resolved,4
INT0003245,205403497,7/27/2022,Voice,Digital Banking Errors,resolved,3
INT0003246,205404708,7/22/2024,Self Service,Others,resolved,5
INT0003247,205404925,11/25/2024,Self Service,Loan & Credit Problems,escalated,1
INT0003248,205402670,10/17/2022,Digital,Transaction Failures,escalated,3
INT0003249,205402322,9/8/2024,Digital,Transaction Failures,resolved,4
INT0003250,205400304,7/16/2023,Self Service,Customer Service,pending,3
INT0003251,205403118,4/17/2024,Voice,Card Issues,resolved,4
INT0003252,205402577,3/4/2023,Self Service,Digital Banking Errors,resolved,3
INT0003253,205401980,5/9/2023,Self Service,Digital Banking Errors,resolved,5
INT0003254,205402864,7/2/2023,Physical,Digital Banking Errors,escalated,2
INT0003255,205404613,10/21/2022,Digital,Card Issues,resolved,4
INT0003256,205402968,4/16/2022,Voice,Loan & Credit Problems,resolved,5
INT0003257,205400718,4/17/2024,Self Service,Others,resolved,4
INT0003258,205403940,9/3/2024,Self Service,Digital Banking Errors,resolved,5
INT0003259,205401721,9/22/2022,Digital,Customer Service,resolved,5
INT0003260,205401199,7/14/2024,Self Service,Card Issues,pending,2
INT0003261,205400569,10/5/2022,Digital,Transaction Failures,pending,3
INT0003262,205403897,1/19/2024,Self Service,Loan & Credit Problems,resolved,5
INT0003263,205402560,11/15/2024,Physical,Customer Service,resolved,3
INT0003264,205404055,11/18/2024,Physical,Customer Service,resolved,4
INT0003265,205403961,2/25/2023,Physical,Transaction Failures,escalated,1
INT0003266,205403244,9/8/2024,Voice,Digital Banking Errors,resolved,5
INT0003267,205401544,9/11/2024,Self Service,Digital Banking Errors,resolved,5
INT0003268,205403896,10/17/2022,Digital,Loan & Credit Problems,resolved,3
INT0003269,205404711,5/29/2023,Voice,Others,resolved,5
INT0003270,205401527,1/31/2023,Physical,Digital Banking Errors,resolved,3
INT0003271,205401614,7/11/2023,Voice,Transaction Failures,escalated,1
INT0003272,205400400,6/9/2024,Self Service,Digital Banking Errors,resolved,5
INT0003273,205401898,3/22/2024,Physical,Card Issues,resolved,4
INT0003274,205403881,9/30/2024,Voice,Others,resolved,4
INT0003275,205404639,7/19/2023,Digital,Customer Service,resolved,5
INT0003276,205400044,12/12/2024,Digital,Customer Service,pending,3
INT0003277,205403596,3/9/2024,Physical,Card Issues,pending,1
INT0003278,205400533,9/1/2024,Physical,Card Issues,escalated,2
INT0003279,205401886,5/16/2022,Self Service,Card Issues,resolved,3
INT0003280,205400231,2/26/2022,Self Service,Transaction Failures,resolved,4
INT0003281,205403818,2/15/2023,Voice,Digital Banking Errors,resolved,5
